Timestamp,Location ID,Latitude,Longitude,Vehicle Count,Avg Speed (km/h),Weather,Road Condition,Incident
2025-04-11 06:00:00,LOC_041,36.996321,-117.345,34,47.7,Clear,Dry,None
2025-04-11 06:01:00,LOC_016,34.464669,-117.936767,32,47.7,Rainy,Dry,None
2025-04-11 06:02:00,LOC_044,34.164676,-117.210631,36,45.4,Cloudy,Dry,None
2025-04-11 06:03:00,LOC_003,36.433938,-120.326705,29,45.3,Clear,Dry,None
2025-04-11 06:04:00,LOC_033,38.894823,-123.023543,26,64.7,Cloudy,Dry,None
2025-04-11 06:05:00,LOC_046,35.59739,-120.400359,31,47.7,Cloudy,Wet,None
2025-04-11 06:06:00,LOC_038,38.860359,-122.806331,27,44,Fog,Dry,None
2025-04-11 06:07:00,LOC_011,34.976306,-120.533762,26,68.5,Snow,Wet,None
2025-04-11 06:08:00,LOC_014,36.493689,-120.359524,31,57.4,Fog,Dry,None
2025-04-11 06:09:00,LOC_007,34.70794,-122.62812,17,51.7,Fog,Wet,None
2025-04-11 06:10:00,LOC_003,37.109418,-122.100557,36,53.4,Snow,Icy,None
2025-04-11 06:11:00,LOC_025,35.127394,-118.384621,35,32.4,Clear,Icy,None
2025-04-11 06:12:00,LOC_041,34.044177,-118.29177,33,41.6,Cloudy,Wet,None
2025-04-11 06:13:00,LOC_046,40.904827,-119.636913,27,46.9,Clear,Dry,None
2025-04-11 06:14:00,LOC_050,36.487859,-121.723717,34,49.3,Fog,Dry,Accident
2025-04-11 06:15:00,LOC_007,34.956754,-119.007286,34,60,Snow,Wet,None
2025-04-11 06:16:00,LOC_024,40.167737,-120.543431,30,50.9,Rainy,Wet,None
2025-04-11 06:17:00,LOC_043,36.514848,-120.440005,39,47,Fog,Icy,Breakdown
2025-04-11 06:18:00,LOC_042,37.283063,-118.711142,25,41.9,Clear,Icy,None
2025-04-11 06:19:00,LOC_035,41.437581,-118.343157,32,45,Rainy,Dry,None
2025-04-11 06:20:00,LOC_018,40.429377,-122.69401,38,43,Cloudy,Dry,None
2025-04-11 06:21:00,LOC_050,35.823481,-121.010245,29,46.7,Clear,Dry,Accident
2025-04-11 06:22:00,LOC_021,34.958923,-121.636694,41,68.9,Snow,Wet,None
2025-04-11 06:23:00,LOC_037,36.909037,-117.197525,44,51.7,Fog,Dry,None
2025-04-11 06:24:00,LOC_026,37.977988,-121.893852,26,50.6,Snow,Dry,None
2025-04-11 06:25:00,LOC_016,34.41183,-122.049475,39,74.6,Cloudy,Icy,None
2025-04-11 06:26:00,LOC_038,35.159159,-120.573831,33,57.9,Snow,Icy,None
2025-04-11 06:27:00,LOC_015,36.942265,-119.573859,32,40.9,Rainy,Icy,None
2025-04-11 06:28:00,LOC_049,34.722318,-118.152883,27,51,Clear,Dry,None
2025-04-11 06:29:00,LOC_011,39.420515,-123.883885,30,45,Snow,Icy,None
2025-04-11 06:30:00,LOC_025,39.161382,-122.779435,33,42.2,Cloudy,Wet,None
2025-04-11 06:31:00,LOC_036,41.397549,-117.858625,26,46.8,Clear,Icy,None
2025-04-11 06:32:00,LOC_044,40.537778,-120.113594,30,52.6,Cloudy,Wet,None
2025-04-11 06:33:00,LOC_022,36.712238,-121.555533,32,57.8,Clear,Wet,None
2025-04-11 06:34:00,LOC_030,35.29303,-117.710121,32,52.9,Clear,Icy,Accident
2025-04-11 06:35:00,LOC_017,34.040493,-122.874344,31,42.9,Cloudy,Dry,None
2025-04-11 06:36:00,LOC_007,39.21569,-122.430115,34,61.6,Fog,Icy,None
2025-04-11 06:37:00,LOC_013,39.197063,-118.055436,33,41.8,Rainy,Wet,None
2025-04-11 06:38:00,LOC_035,34.749398,-121.425989,26,49.2,Cloudy,Dry,None
2025-04-11 06:39:00,LOC_032,41.136372,-119.58203,35,53.4,Clear,Dry,Breakdown
2025-04-11 06:40:00,LOC_020,38.615231,-120.552376,24,39.3,Rainy,Dry,None
2025-04-11 06:41:00,LOC_037,41.523669,-117.3225,39,54.8,Clear,Dry,None
2025-04-11 06:42:00,LOC_005,34.123653,-117.50177,29,41.5,Cloudy,Dry,None
2025-04-11 06:43:00,LOC_031,40.809093,-121.781546,24,34.9,Cloudy,Dry,None
2025-04-11 06:44:00,LOC_039,41.489238,-119.127791,31,50.6,Snow,Dry,Breakdown
2025-04-11 06:45:00,LOC_049,41.018985,-118.81462,33,38.6,Rainy,Icy,None
2025-04-11 06:46:00,LOC_043,36.875929,-121.944857,30,55.7,Fog,Wet,Accident
2025-04-11 06:47:00,LOC_029,39.615735,-118.429451,38,61.4,Clear,Dry,None
2025-04-11 06:48:00,LOC_022,37.004664,-123.342126,31,73.1,Clear,Icy,None
2025-04-11 06:49:00,LOC_038,36.29233,-119.864167,13,31.3,Rainy,Dry,None
2025-04-11 06:50:00,LOC_041,40.580804,-121.478666,23,42.8,Clear,Dry,None
2025-04-11 06:51:00,LOC_003,38.983124,-123.402568,18,56.8,Fog,Dry,None
2025-04-11 06:52:00,LOC_018,38.325081,-119.537991,30,43.4,Snow,Dry,None
2025-04-11 06:53:00,LOC_047,37.511771,-123.450805,36,58.5,Cloudy,Icy,None
2025-04-11 06:54:00,LOC_031,37.271624,-122.78694,23,67.7,Snow,Dry,None
2025-04-11 06:55:00,LOC_043,39.281579,-122.040463,31,54,Snow,Wet,None
2025-04-11 06:56:00,LOC_030,37.3568,-122.265883,28,54.4,Clear,Icy,None
2025-04-11 06:57:00,LOC_042,37.793391,-123.315161,30,57.7,Clear,Dry,None
2025-04-11 06:58:00,LOC_022,35.385615,-120.963038,28,45.6,Clear,Dry,None
2025-04-11 06:59:00,LOC_035,36.996901,-119.618981,30,51.3,Snow,Dry,None
2025-04-11 07:00:00,LOC_018,39.269549,-122.859459,20,50.7,Snow,Dry,Accident
2025-04-11 07:01:00,LOC_005,41.521842,-119.971681,28,46.1,Snow,Icy,None
2025-04-11 07:02:00,LOC_042,37.666023,-120.180682,41,52.8,Cloudy,Dry,Congestion
2025-04-11 07:03:00,LOC_049,34.569509,-121.767171,36,43.8,Rainy,Dry,None
2025-04-11 07:04:00,LOC_031,40.515748,-122.027017,22,59,Rainy,Wet,Breakdown
2025-04-11 07:05:00,LOC_011,39.880568,-118.375633,26,53.1,Snow,Dry,Congestion
2025-04-11 07:06:00,LOC_017,40.004918,-118.352157,28,55.5,Snow,Wet,None
2025-04-11 07:07:00,LOC_047,40.867302,-120.997042,34,48,Cloudy,Icy,None
2025-04-11 07:08:00,LOC_010,34.824991,-117.68213,30,56.8,Rainy,Wet,None
2025-04-11 07:09:00,LOC_004,37.113613,-123.924136,39,46.9,Cloudy,Icy,None
2025-04-11 07:10:00,LOC_048,36.554509,-117.349566,42,41.8,Fog,Dry,None
2025-04-11 07:11:00,LOC_031,36.345686,-121.699348,33,70.9,Cloudy,Icy,None
2025-04-11 07:12:00,LOC_033,40.332632,-118.472673,21,50.8,Clear,Dry,None
2025-04-11 07:13:00,LOC_005,37.532244,-117.786071,27,43.2,Rainy,Wet,None
2025-04-11 07:14:00,LOC_037,35.143933,-118.669426,32,52.4,Rainy,Icy,None
2025-04-11 07:15:00,LOC_040,34.582104,-118.24698,33,44.9,Clear,Wet,None
2025-04-11 07:16:00,LOC_037,34.678702,-117.093523,28,42.8,Cloudy,Wet,Breakdown
2025-04-11 07:17:00,LOC_014,40.217175,-120.09117,29,47.9,Fog,Dry,None
2025-04-11 07:18:00,LOC_009,34.88958,-120.551624,19,53.2,Fog,Wet,None
2025-04-11 07:19:00,LOC_049,39.968359,-119.916419,44,41.7,Clear,Dry,None
2025-04-11 07:20:00,LOC_037,36.285697,-117.919806,20,50.2,Clear,Dry,None
2025-04-11 07:21:00,LOC_033,39.035189,-119.129759,29,55,Fog,Dry,Breakdown
2025-04-11 07:22:00,LOC_005,38.674514,-117.691894,17,71.9,Rainy,Wet,None
2025-04-11 07:23:00,LOC_029,36.219049,-122.683152,29,41.9,Cloudy,Icy,None
2025-04-11 07:24:00,LOC_042,38.669249,-123.455858,33,59.5,Cloudy,Dry,None
2025-04-11 07:25:00,LOC_036,39.477849,-122.861681,42,44.2,Fog,Icy,None
2025-04-11 07:26:00,LOC_009,38.907322,-121.072299,40,61.8,Fog,Dry,Accident
2025-04-11 07:27:00,LOC_048,41.898209,-122.947082,31,45.3,Cloudy,Dry,None
2025-04-11 07:28:00,LOC_039,41.759315,-118.105168,36,34.1,Rainy,Icy,None
2025-04-11 07:29:00,LOC_044,34.451004,-117.946943,37,44,Fog,Icy,None
2025-04-11 07:30:00,LOC_004,37.604353,-123.095884,43,57.1,Clear,Icy,None
2025-04-11 07:31:00,LOC_018,38.945026,-121.492861,22,38.8,Clear,Dry,None
2025-04-11 07:32:00,LOC_009,38.162462,-118.593771,30,70.6,Fog,Dry,None
2025-04-11 07:33:00,LOC_036,41.013229,-121.17562,23,67.6,Snow,Icy,None
2025-04-11 07:34:00,LOC_005,40.041098,-119.657833,33,60.6,Rainy,Icy,None
2025-04-11 07:35:00,LOC_024,37.137952,-120.937676,39,32.4,Cloudy,Icy,None
2025-04-11 07:36:00,LOC_009,38.111916,-118.514429,28,33,Clear,Wet,None
2025-04-11 07:37:00,LOC_003,37.673086,-117.139772,30,49.4,Fog,Dry,None
2025-04-11 07:38:00,LOC_043,39.067207,-122.318981,20,53.7,Clear,Wet,None
2025-04-11 07:39:00,LOC_027,35.455041,-121.580329,38,40.6,Cloudy,Icy,None
2025-04-11 07:40:00,LOC_016,39.340462,-122.793761,24,44.7,Rainy,Dry,Accident
2025-04-11 07:41:00,LOC_002,35.416084,-123.379082,22,42.1,Rainy,Icy,Breakdown
2025-04-11 07:42:00,LOC_027,35.65067,-121.450111,30,43,Rainy,Wet,None
2025-04-11 07:43:00,LOC_045,40.988629,-117.553893,19,52.1,Clear,Wet,Accident
2025-04-11 07:44:00,LOC_031,40.44961,-118.762182,24,47.2,Rainy,Dry,Accident
2025-04-11 07:45:00,LOC_030,38.946038,-121.417605,29,27,Fog,Wet,Accident
2025-04-11 07:46:00,LOC_015,34.293466,-122.232941,30,48.7,Rainy,Dry,None
2025-04-11 07:47:00,LOC_026,38.260938,-122.302706,26,40.4,Fog,Wet,Accident
2025-04-11 07:48:00,LOC_050,34.16057,-121.745446,25,66.9,Fog,Wet,None
2025-04-11 07:49:00,LOC_026,40.31337,-120.510905,21,58.8,Cloudy,Wet,Breakdown
2025-04-11 07:50:00,LOC_008,38.694729,-118.781924,29,41.2,Fog,Dry,None
2025-04-11 07:51:00,LOC_017,39.167338,-120.004552,28,36.2,Clear,Dry,None
2025-04-11 07:52:00,LOC_023,38.846199,-122.339412,22,43.5,Fog,Wet,None
2025-04-11 07:53:00,LOC_033,35.492536,-122.004334,20,45.1,Clear,Wet,Accident
2025-04-11 07:54:00,LOC_013,37.283175,-117.12335,22,44.2,Fog,Dry,None
2025-04-11 07:55:00,LOC_001,35.367101,-119.319497,40,57.6,Cloudy,Icy,None
2025-04-11 07:56:00,LOC_048,38.572902,-122.040146,35,42.4,Rainy,Wet,None
2025-04-11 07:57:00,LOC_043,38.060883,-122.303132,22,32,Fog,Icy,None
2025-04-11 07:58:00,LOC_008,36.309044,-119.931332,23,43.5,Fog,Icy,None
2025-04-11 07:59:00,LOC_027,36.692834,-123.059097,27,50.5,Fog,Wet,None
2025-04-11 08:00:00,LOC_036,36.037125,-119.229481,34,25.3,Rainy,Dry,None
2025-04-11 08:01:00,LOC_025,36.790946,-117.493296,23,42,Rainy,Icy,None
2025-04-11 08:02:00,LOC_026,41.506724,-122.731369,20,61.7,Cloudy,Dry,None
2025-04-11 08:03:00,LOC_014,35.118179,-118.433129,25,52.5,Snow,Icy,None
2025-04-11 08:04:00,LOC_021,35.314126,-118.297977,33,58.7,Snow,Wet,None
2025-04-11 08:05:00,LOC_014,37.139561,-118.283804,29,46.7,Cloudy,Wet,None
2025-04-11 08:06:00,LOC_048,37.701438,-121.890355,34,53.3,Rainy,Icy,None
2025-04-11 08:07:00,LOC_033,37.07113,-120.19513,39,47.8,Cloudy,Wet,None
2025-04-11 08:08:00,LOC_049,34.935184,-117.421175,32,53.4,Rainy,Icy,None
2025-04-11 08:09:00,LOC_013,38.960582,-120.265772,38,45.8,Rainy,Dry,None
2025-04-11 08:10:00,LOC_031,35.213399,-121.817946,26,50.7,Cloudy,Dry,None
2025-04-11 08:11:00,LOC_041,40.099669,-117.862641,27,45.2,Cloudy,Dry,None
2025-04-11 08:12:00,LOC_025,34.885054,-118.074834,23,45.6,Snow,Wet,None
2025-04-11 08:13:00,LOC_042,35.834011,-118.944232,34,53.8,Clear,Dry,None
2025-04-11 08:14:00,LOC_015,39.551588,-120.200929,26,32.2,Rainy,Icy,None
2025-04-11 08:15:00,LOC_004,37.696046,-117.369017,23,65,Cloudy,Dry,Breakdown
2025-04-11 08:16:00,LOC_008,38.047109,-119.71982,40,54.8,Snow,Dry,Accident
2025-04-11 08:17:00,LOC_043,39.657909,-122.932227,31,52.2,Cloudy,Icy,None
2025-04-11 08:18:00,LOC_049,37.393045,-118.84489,40,40.1,Snow,Icy,Accident
2025-04-11 08:19:00,LOC_033,41.87873,-118.127713,23,48.7,Snow,Icy,None
2025-04-11 08:20:00,LOC_011,40.959171,-120.368134,31,48.4,Snow,Wet,None
2025-04-11 08:21:00,LOC_016,40.422828,-123.967576,27,45.7,Fog,Icy,None
